Prey,Classification,Class,Order (Suborder),Family,Genus,Species,Successful Predation,Predator Size,DOI,Observer,Location,State,Biogeographic zone,Latitude,Longitude,Source,Notes,Link
Platyceps plinii,Serpentes,Reptilia,Squamata (Serpentes),Colubridae,Platyceps,plinii,Y,L,HF,Kalki et al. 2022,"Pune, MH",MH,Deccan Peninsula,18.512874,73.86262,Literature,Observed by Shubham Adhikari. Banded racers were in combat. Cobra caught one. Took 2 hours to complete meal,https://www.facebook.com/groups/SnakesofIndia/?post_id=4409296015763090
Bandicota bengalensis,Mammalia,Mammalia,Rodentia,Muridae,Bandicota,bengalensis,Y,-,U,Mirza et al. 2007,-,-,-,-,-,Literature,,
Bandicota bengalensis,Mammalia,Mammalia,Rodentia,Muridae,Bandicota,bengalensis,Y,L,U,Shuayb,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,Instagram,Regurgitated mother and 9 babies,https://www.instagram.com/p/CRES43jAmeL/
Boiga trigonata,Serpentes,Reptilia,Squamata (Serpentes),Colubridae,Boiga,trigonata,Y,-,U,Wall 1921,"Trichy, TN",TN,Deccan Peninsula,10.821226,78.681475,Literature,,
Calotes versicolor,Sauria,Reptilia,Squamata (Iguania),Agamidae,Calotes,versicolor,Y,-,U,Mirza et al. 2007,-,-,-,-,-,Literature,,
Calotes versicolor,Sauria,Reptilia,Squamata (Iguania),Agamidae,Calotes,versicolor,Y,M,HF,Yatin Kalki,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,This study,,
Canis familiaris,Mammalia,Mammalia,Carnivora,Canidae,Canis,lupus,Y,L,HF,Ajay Giri,"Hariharpura, KA",KA,Western Ghats,13.53434,75.31454,Facebook,,https://www.facebook.com/ajay.arrs/posts/1369197929909169
Canis familiaris,Mammalia,Mammalia,Carnivora,Canidae,Canis,lupus,N,L,HF,Animal Rescue India,"Nashik, MH",MH,Deccan Peninsula,19.997454,73.789803,Google,,https://www.youtube.com/watch?v=iqwlJXXbZu8
Canis familiaris,Mammalia,Mammalia,Carnivora,Canidae,Canis,lupus,N,M,U,Mirza MD Arif,"Bhadrak, OR",OR,Gangetic Plain,21.051182,86.485748,Google,killed 3 pups,https://www.youtube.com/watch?v=nYPYU2TOjpg
Cnemaspis mysoriensis,Sauria,Reptilia,Squamata (Gekkota),Gekkonidae,Cnemaspis,mysorensis,Y,S,HF,Yatin Kalki,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,This study,,
Coelognathus helena,Serpentes,Reptilia,Squamata (Serpentes),Colubridae,Coelognathus,helena,N,L,U,Jaydeep Leuva,"Amreli, GJ",GJ,Semi-Arid,21.601948,71.225085,pers. comm.,did not complete meal,
Daboia russelii,Serpentes,Reptilia,Squamata (Serpentes),Viperidae,Daboia,russelii,Y,L,HF,Adil Khan,"Sarni, MP",MP,Deccan Peninsula,22.105659,78.165957,Facebook,,https://www.facebook.com/Adilsarni/posts/151771696294854
Daboia russelii,Serpentes,Reptilia,Squamata (Serpentes),Viperidae,Daboia,russelii,U,L,HF,Akash Pardesi,"Junnar, MH",MH,Western Ghats,19.202504,73.875568,Instagram,,https://www.instagram.com/p/CQnbrIxhbj6/
Daboia russelii,Serpentes,Reptilia,Squamata (Serpentes),Viperidae,Daboia,russelii,Y,M,HF,Amrit De,-,-,-,-,-,Facebook,,https://www.facebook.com/photo?fbid=2444838825785615&set=bc.AbpHU6wIEo6Jf4d7LA0JBdYD2Q2lxdhyBCdYxFnZKFRIhCv3xFpTyjAt2lOUSfa3y0ttmbgdshX5bwR0fLjWXytLakO3glvWniRB5pQ6vUWbYGA_JCf_-TmGvzPVOysvOqfgzDcbyjU5a5n5STONsvb3&opaqueCursor=AbpJcCInGsMJ321rK2boAL9-yWZQjfvhnhZ9NhFx-rmDqo1CQstQg0hdAZ2iIBdxvSjpAzYOMp207OZSGLMl2uf1smiOIuD49UsnZtscknPDh8er9TCKdkk9LvR09e651dSiTdqazMy8cIZSzQkNQJLMPrlZYWLYd0xtLfqYwfLX-zbbuYI5kamCjRO6C5HOlDSKN0fHpgta8bHRRnlxp4Qi3zcklBt2Tj07OYvLqXqaMFZGp9XnPCNane7FGE74BRFkYtXauq-0wvdSTFAwGMNft_abKGJ3-oWv0ShVktxaI6ijE4V04CkSO2QBzRSsfY95Hp7qY3hsT99MA9BCfPu1oC0OZfBwOBJQc1pVYF8MSZisbSCxxJ88blptnv9Iee_NAOY4mbccKKcv6Cq8wYQpl3tCfsC1g-b_QbwF49wQOlrCfQKW8uPY3SviW9Tw_UEZH_lbMKx8oZMPocSwGOfyTs7RHn0kpDSD4W1O1zf0MyUR_-yCsuEL3vQ6o1uGgsM
Daboia russelii,Serpentes,Reptilia,Squamata (Serpentes),Viperidae,Daboia,russelii,Y,L,HF,EGWS,-,AP,Deccan Peninsula,-,-,Facebook,,https://www.facebook.com/EasternGhatsWildlifeSociety/videos/705301076550298
Daboia russelii,Serpentes,Reptilia,Squamata (Serpentes),Viperidae,Daboia,russelii,Y,L,HF,Kalki et al. 2022,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,Literature,Observed by Subadhra Cherukuri,https://m.facebook.com/groups/293704990655567?view=permalink&id=2167119459980768
Daboia russelii,Serpentes,Reptilia,Squamata (Serpentes),Viperidae,Daboia,russelii,Y,L,HF,Mirza MD Arif,"Bhadrak, OR",OR,Gangetic Plain,21.051182,86.485748,YouTube,Regurgitated big viper,https://www.youtube.com/watch?v=eB8W5FQyMZY&ab_channel=MIRZAMDARIF
Daboia russelii,Serpentes,Reptilia,Squamata (Serpentes),Viperidae,Daboia,russelii,Y,L,HF,Rajendra Pawaskar,-,-,-,-,-,Google,,https://www.youtube.com/watch?v=jhQISf8endQ
Daboia russelii,Serpentes,Reptilia,Squamata (Serpentes),Viperidae,Daboia,russelii,Y,M,HF,Samson Kirubakaran,"Madurai, TN",TN,Deccan Peninsula,9.939093,78.121719,Facebook,,https://facebook.com/groups/293704990655567?view=permalink&id=4257771897582170
Daboia russelii,Serpentes,Reptilia,Squamata (Serpentes),Viperidae,Daboia,russelii,Y,M,HF,Samson Kirubakaran,"Madurai, TN",TN,Deccan Peninsula,9.939093,78.121719,Instagram,,https://www.instagram.com/p/CBsS3IPgt-i/
Daboia russelii,Serpentes,Reptilia,Squamata (Serpentes),Viperidae,Daboia,russelii,U,L,U,Soumyajith Rath,Eastern Ghats,OR,-,-,,Instagram,,https://www.instagram.com/p/CWa49rPpEcT/
Daboia russelii,Serpentes,Reptilia,Squamata (Serpentes),Viperidae,Daboia,russelii,N,L,U,Udhayan Dharmadhikari,"Nagpur, MH",MH,Deccan Peninsula,21.144398,79.091729,India Nature Watch,,http://www.indianaturewatch.net/displayimage.php?id=357554
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,M,HF,Aadit Patel,"Valsad, GL",GJ,Coast,20.63,72.93,Instagram,,https://www.instagram.com/p/CLKPklVASjt/
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,M,HF,Anil Sharma,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,Instagram,,https://www.instagram.com/p/BtBNTMvBEcU/
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,-,M,HF,Avinash Bhagat,-,-,-,-,-,Google,,https://pogirigowrishankar.wordpress.com/2012/11/08/king-cobras-common-cobras-we-beg-to-differ/
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,L,HF,Brihadeesh Santharam,-,-,-,-,-,Flickr,,https://www.flickr.com/photos/146623647@N08/34970623346/in/photostream/
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,M,HF,Chayant Gonsalves,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,iNaturalist,took 4 hours to complete meal,https://www.inaturalist.org/observations/66540166
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,M,U,Mirza et al. 2007,"Mumbai, MH",MH,Coast,19.07609,72.877426,Literature,,
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,M,U,Mirza et al. 2007,"Mumbai, MH",MH,Coast,19.07609,72.877426,Literature,,
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,M,U,Mirza et al. 2007,"Mumbai, MH",MH,Coast,19.07609,72.877426,Literature,,
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,M,HF,Parin Gala,"Pune, MH",MH,Deccan Peninsula,18.516726,73.86262,Facebook,,https://www.facebook.com/photo?fbid=966532916704437&set=bc.AbqQgmq537F1f4V8ez9UvefOc9a_SUwVb2LXodcDHCwUmeyFuBbFGaKwdC62J95yoffpV0Tu-4kL5lhBBlRYeSSeky2G7lnG0IP-d_msrOdwmv_ctcNIQacF5ELovxZNwCIoF1bMLbLzqsnHUdZvPl14&opaqueCursor=AbrzcEKpwYweeT0ib3wCxUhjpir1_v9YsSQLUkQk_gHlZly_EG7M2a_0m1nl3qyxXoW_bWEX23VeRXSSiEudoUJG5MbE22egkhnqwehGY7CMOWTME8DW77TAHYx-M5Wgq8FPFB076FlCf_-2Gd_8DFH5Az9MkeUiegP7cGvkDi4dlIDGYbRoJ_ovLSTY3bHUeLNYwG061mQTOzznSzrGEAZphpWSQTvSNbem1rwDnq9Xnw5Ds5KqZV_4CqFqJgqU55-2FJgKjNV_QZt_OmgChut_0Vuvf-Z6BI6t-UWwcMpy8edgruqN5HLnGbnhlQbqi-bKE840EJZZYz7jcpIqdYjF8teVG1Hex6wAAls-MEk-ox7Qu1hoBfetJJOYG69SIw5Q3E-2N28pJ4YC2S6UL9nZsnodkdx6ejA3U4juma7mzOJ_R-3gXfazCaNZcCm6Zxcl4ooAO93u_9Cs9H4ULAa36RYw7GBRrzXrmGCFFaPxIw
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,M,HF,Rounak Khare,"Pune, MH",MH,Deccan Peninsula,18.516726,73.86262,India Nature Watch,,http://www.indianaturewatch.net/displayimage.php?id=310466
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,M,HF,Sagar Patel,"Dahanu, MH",MH,Coast,19.990751,72.743675,Instagram,,https://www.instagram.com/p/CL8aK12HdWr/
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,M,HF,Shubham Adhikari,"Pune, MH",MH,Deccan Peninsula,18.516726,73.86262,Instagram,,https://www.instagram.com/p/CQBRaSALy23/
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,-,L,U,Shubham Srivastav,"Hoskote, KA",KA,Deccan Peninsula,13.070942,77.801113,India Nature Watch,,http://www.indianaturewatch.net/displayimage.php?id=449308
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,-,U,Wall 1921,-,-,-,-,-,Literature,,
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,N,M,HF,Yatin Kalki,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,This study,,
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,N,L,HF,Yatin Kalki,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,This study,,
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,S,TF,Yatin Kalki,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,This study,,
Duttaphrynus stomaticus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,stomaticusg,Y,-,U,Wall 1921,-,-,-,-,-,Literature,Reported as Bufo andersoni,
Eryx conicus,Serpentes,Reptilia,Squamata (Serpentes),Erycidae,Eryx,conicus,N,L,U,Abhilash Vaja,"Gir, GJ",GJ,Semi-Arid,21.169065,70.596481,Instagram,,https://www.instagram.com/p/B_fX5sRACDv/
Felis catus,Mammalia,Mammalia,Carnivora,Felidae,Felis,catus,Y,L,HF,Aadit Patel,-,-,-,-,,Instagram,Kitten,https://www.instagram.com/p/CWvl9eRqWTN/
Felis catus,Mammalia,Mammalia,Carnivora,Felidae,Felis,catus,Y,M,HF,KWECS,"Kharagpur, WB",WB,Gangetic Plain,22.34601,87.231972,Facebook,,https://www.facebook.com/kwecs/posts/1707880836107193
Felis catus,Mammalia,Mammalia,Carnivora,Felidae,Felis,catus,Y,L,U,Mirza MD Arif,"Bhadrak, OR",OR,Gangetic Plain,21.051182,86.485748,Google,swallowed 2 kittens and killed mother cat,https://www.youtube.com/watch?v=ImzRCL5PaS4
Felis catus,Mammalia,Mammalia,Carnivora,Felidae,Felis,catus,N,M,U,Mirza MD Arif,"Bhadrak, OR",OR,Gangetic Plain,21.051182,86.485748,Google,"killed kitten, didnt eat it",https://www.youtube.com/watch?v=LBmUB83vUbA
Felis catus,Mammalia,Mammalia,Carnivora,Felidae,Felis,catus,N,L,HF,Samson Kirubakaran,"Madurai, TN",TN,Deccan Peninsula,9.939093,78.121719,Facebook,,https://www.facebook.com/photo?fbid=1743029135842382&set=bc.AbpyBoze-k-xgtmvV0aYf0HjpSuOkSUIwHk_KCoZKC1RGk2Lx3VnMt7dRhoh1qsosp5Dqy1DovOMoy5ha20Zib3dINGsygGlRDui1x4hZx75CIfzO0lkZsPLCaVXGFv42Ves8YSPe4Hbb7vP8G6juOGq&opaqueCursor=AbrQIta11hXQeT2Xcc-__JhnY1rhXkR8YJdPnAlcJN6nWfy6py2H6jvGfBh1teXFWUOc18m3XWUNLK0sjfujdqRgPRmZrPyZu4cT7ZLcBCbyfTXOkZu2Q06MNHr25-pR9iaVyhW-gssaSx2Yl-qZsSPxiXI9De1pGI9k3NYhwNykD7G0FlY_wEsEd2L7N7JSaOLKJGNNCSQ93XXX1Rv0OuVntijiK_O00LOAwks0VbIIjKxSd2N7360BBfhLPMVC1HLv50S1I28UDU_MkeenRL99Sph4lPLtl3u84qDT8xtsIyGfmcigxVbsYDm1eVE3EyWPwrUCylrgrPT-kO43Tv7JN49kuBE_8Seczmr3Lkxhj-K9Un_5n6vN-mKC3Dd8TmrdOuadwWURMPGAJ1BiF-hThqLJ3es2XQfQ2D1uZQk2lxzLywrOZpk97GKbO3_1gmYp4HzGCJsOikc05pWzrTjTz7369FAhxDfYeNcHxTbTT-N5rGeIrfrH6NPjC0XMVbE
Francolinus pondicerianus,Aves,Aves,Galliformes,Phasianoidae,Francolinus,palmarum,Y,L,U,Dhaval Momya,"Coimbatore, TN",TN,Deccan Peninsula,11.004556,76.961632,pers. comm.,cobra chased and caught the bird in 5 seconds. went under shelter to swallow meal,
Funambulus palmarum,Mammalia,Mammalia,Rodentia,Sciuridae,Funambulus,palmarum,Y,L,U,Kalki 2020,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,Literature,,
Gallus gallus domesticus,Aves,Aves,Galliformes,Phasianoidae,Gallus,gallus,N,L,HF,Ajay Giri,Western Ghats,KA,-,-,,Instagram,"When we reach the location, we saw an approximately 4 ft long spectacled cobra, trying to swallow the chicken. After 45 minutes it gave up the attempt, regurgitated it took refuge inside a store room",https://www.instagram.com/p/CVfiALplyWR/
Gallus gallus domesticus,Aves,Aves,Galliformes,Phasianoidae,Gallus,gallus,N,-,U,Wall 1921,"Faizabad, UP",UP,Gangetic Plain,26.77,82.150002,Literature,,
Gallus gallus domesticus (eggs),Aves,Aves,Galliformes,Phasianoidae,Gallus,gallus,Y,L,U,Bhadrak Naag Lok,"Bhadrak, OR",OR,Gangetic Plain,21.051182,86.485748,Google,2 eggs,https://www.youtube.com/watch?v=SmojEyFFjoE
